,Tweet Body ,Sentiment ,processed_content
0,sorry i didn’t respond for 2 weeks i was focused on my eating disorder,Neutral,sorry respond for weeks was focused eating disorder
1,"only i can have an eating disorder, everyone else deserves to eat🙄",Negative,only can have eating everyone else deserves
2,having an eating disorder isn’t an excuse to be stupid,Negative,having eating disorder excuse stupid
3,everybody been telling me i’m getting to be an unhealthy skinny 🫤 like is that true?? i’m too skinny or sum?? cause they callin me anorexic,Neutral,everybody been telling getting unhealthy skinny like that too skinny cause they callin anorexic
4,"I am very thin (people think I am anorexic). When I was a child, I thought everyone viewed through the lens of my skinniness. And while I was occasionally bullied, I stopped interpreting others' actions as being insulting when I became comfortable with myself.",Negative,very thin think when was thought everyone viewed through the lens and while was occasionally stopped interpreting actions being insulting when became comfortable with
5,When did body positivity turn into making fun of people with eating disorders?,Negative,when did body positivity turn into making fun people with eating
6,calling myself Anorexic still feels like such a lie even though no other word would fit better it just feels so harsh. like i eat sometimes. i cant be anorexic. i dont always struggle as much with eating. im not anorexic. sometimes i can eat like normal. i do not have anorexia,Neutral,calling myself anorexic still feels like such lie even though other word would fit better just feels like eat cant dont always struggle much with not sometimes can eat like not have anorexia
7,"before i was disordered i bought a dozen of these and hid them from my family and ate them in 2 days. i miss this so, so so bad.",Neutral,before was disordered bought dozen these and hid them from family and ate them miss this
8,"“Fuck this eating disorder, I can eat whatever I want”",Neutral,this eating can eat whatever
9,i still had a eating disorder here but it was not as bad as it is now i was still more happy then,Neutral,still had eating disorder here but was not bad now was still more happy then
10,cant wait to start my anorexia diet 😍,Positive,cant wait start anorexia diet
11,You are the best anorexic.,Positive,you are the best
12,"I didn’t write it. But if you want, I’ll fight whoever did. Keep in mind that I can’t swallow food and have a serious back problem and thus have no physical strength.",Neutral,write but you fight whoever keep mind that swallow food and have serious back problem and thus have physical
13,I’ve been binge eating this week since I got severely dehydrated I need to turn this around  ,Negative,been binge eating this week since got severely dehydrated need turn this around
14,I just found out that years ago a family took their anorexic daughter to court for refusing to eat??? That is wild,Negative,just found out that years ago family took their anorexic daughter court for refusing that wild
15,no eating disorder shit how can I gain 15 lbs ever since I turned fifteen,Neutral,eating disorder shit how can gain lbs ever since turned fifteen
16,You know he has Ed and (me : eating disorder) no  erectial disfunction,Neutral,you know has and eating erectial disfunction
17,my eating disorder is ruining my life lol,Negative,eating disorder ruining life lol
18,i went to the doctors for my depression and now i’m being sent to the eating disorder service :/ gotta go for an assessment on friday,Negative,went the doctors for depression and now being sent the eating disorder service gotta for assessment friday
19,Having an eating disorder and having a friend who wants to lose weight is the most frightening thing ever. I feel like anything I say could put them in a dangerous place,Neutral,having eating disorder and having friend who wants lose weight the most frightening thing feel like anything say could put them dangerous place
20,i have to admit i do not know what i’m doing anymore eating disorder wise like u guys have evolved so much. i’m sticking to my methods. the beautiful methods that allowed me to stay just on the border of underweight through 7 years of starving myself because fuck my life right,Negative,have admit not know what doing anymore eating disorder wise like guys have evolved sticking the beautiful methods that allowed stay just the border underweight through years starving myself because fuck life right
